skz;name;plz;ort;strasse;tel;mail_vw;url_hp;art;
301439;Höhere gewerbliche Bundeslehranstalt, Fachrichtung Mode und Bekleidungstechnik und Höhere Bundeslehranstalt für wirtschaftliche Berufe Krems;3500;Krems/Donau;Kasernstraße 6;02732/85240-0;hlw.krems@noeschule.at;www.hlmhlw-krems.ac.at;BBS W$S WHS MODE;
301447;Höhere technische Bundeslehranstalt Krems;3500;Krems/Donau;Alauntalstraße 29;02732/83190-0;htl.krems@noeschule.at;www.htlkrems.ac.at;BBS T$S TMS THS KOLL;
301469;Höhere gewerbliche Bundeslehranstalt für Tourismus Krems;3500;Krems/Donau;Langenloiserstraße 22;02732/880-115;hlt.krems@noeschule.at;www.hlfkrems.ac.at;BBS W$S WHS WMS TOUR KOLL;
301710;Landwirtschaftliche Fachschule Krems;3500;Krems/Donau;Wiener Straße 101;02732/87516;;;BBS LFS;
301810;Pädagogische Hochschule der Diözese St. Pölten, Krems;3500;Krems/Donau;Dr. Gschmeidler Straße 22-30;02732/83591;paedak.krems@noeschule.at;www.paedak-krems.ac.at;PAI;
301960;Bundesschülerheim Krems;3500;Krems/Donau;Kasernstraße 6-8;02732/83111;bsh.krems@noeschule.at;www.bshkrems.at;$SH;
302011;Volksschule Daniel Gran I mit musikalischem Schwerpunkt;3100;St. Pölten;Kerensstraße 13;02742 / 323 23-11;vs.stpoelten-danielgran-1@noeschule.at;www.vsstpoelten-danielgran-1.ac.at;APS $VS;
302012;Neue Niederösterreichische Mittelschule St. Pölten, Dr. Theodor Körner I;3100;St. Pölten;Johann Gasser-Straße 7;02742/3231411;hs.stpoelten-koerner-1@noeschule.at;www.shsstpoelten.ac.at;APS $HS NMS;
302013;Allgemeine Sonderschule St. Pölten - Mitte;3100;St. Pölten;Hans Schickelgruber-Str. 7;02742/32314-61;aso.stpoelten-mitte@noeschule.at;www.spzstpoelten-mitte.ac.at;APS $AS SPZ;
302014;Polytechnische Schule St. Pölten;3100;St. Pölten;Hans-Schickelgruber-Straße 7;02742 32 314-50;pts.stpoelten@noeschule.at;www.ptsstpoelten.ac.at;APS PTS;
302015;Landesberufsschule St. Pölten;3100;St. Pölten;Hötzendorfstraße 8;02742/73210;direktion@lbsstpoelten.ac.at;www.lbsstpoelten.ac.at;BPS BRS;
302016;Bundesgymnasium und Bundesrealgymnasium St. Pölten, Josefstrasse;3100;St. Pölten;Josefstraße 84;02742/72959-0;bg.stpoelten@noeschule.at;www.bgstpoelten.ac.at;AHS GYM;
30201F;Gesellschaft zur Durchführung von Fachhochschul-Studiengängen St. Pölten m.b.H.;3100;St. Pölten;Herzogenburgerstraße 68;02742/313228;;www.fh-stpoelten.ac.at;FH;
302021;Daniel Gran Volksschule II St. Pölten;3100;St. Pölten;Daniel Gran-Straße 49;02742/3232320;vs.stpoelten-danielgran-2@noeschule.at;;APS $VS;
302023;Allgemeine Sonderschule St. Pölten - Nord;3100;St. Pölten;Heinrich Schneidmadl-Straße 10;02742/32318;aso.stpoelten-nord@noeschule.at;www.spzstpoelten-nord.ac.at;APS $AS SPZ;
302025;Private Berufsschule der ÖBB-Shared Service Center GMBH;3100;St. Pölten;Werkstättenstraße 17;;;;BPS BRS;
302026;Bundesrealgymnasium und Bundesoberstufenrealgymnasium St. Pölten, Schulring;3100;St. Pölten;Schulring 16;02742/72055;brg.stpoelten@noeschule.at;www.borgstpoelten.ac.at;AHS GYM ORG;
302031;Grillparzer Volksschule I St. Pölten;3100;St. Pölten;Grillparzerstraße 8;02742/32322-11;vs.stpoelten-grillparzer-1@noeschule.at;www.vsstpoelten-grillparzer1.ac.at;APS $VS;
302032;Neue Niederösterreichische Mittelschule St. Pölten, Dr. Theodor Körner II;3100;St. Pölten;Johann Gasser-Straße 7;02742/32314-21;hs.stpoelten-koerner-2@noeschule.at;www.musik-hs.schulweb.at;APS $HS NMS;
302033;Allgemeine Sonderschule St. Pölten, St. Georgen am Steinfelde;3151;St. Georgen am Steinfelde;Kirchengasse 1a;02742/32 31 520;aso.stpoelten-stgeorgen@noeschule.at;www.asostgeorgen-steinfelde.ac.at;APS $AS;
302036;MARY WARD Privatgymnasium und Oberstufenrealgymnasium der Vereinigung von Ordensschulen Österreichs, St. Pölten;3100;St. Pölten;Schneckgasse 3;02742/72656-0;gym.stpoelten@noeschule.at;www.privatgymstpoelten.ac.at;AHS GYM;
302041;Grillparzer Volksschule II St. Pölten;3100;St. Pölten;Grillparzerstraße 8;02742 - 32 322 21;vs.stpoelten-grillparzer-2@noeschule.at;www.vsstpoelten-grillparzer2.ac.at/;APS $VS;
302042;Neue Niederösterreichische Mittelschule St. Pölten, Dr. Theodor Körner III;3100;St. Pölten;Hans Schickelgruber-Straße 4;02742/32314-31;hs.stpoelten-koerner-3@noeschule.at;www.hs3online.com;APS $HS NMS;
302046;Oberstufenrealgymnasium und Bundeshandelsschule für Leistungssportler;3100;St. Pölten;Bimbo Binder-Promenade 5;02742/73453;dir.borgl.stpoelten@noeschule.at;www.borglsp-stpoelten.ac.at;AHS ORG;
302051;Volksschule St. Pölten, Harland;3104;St. Pölten - Harland;Salcherstraße 41;02742/32317-11;vs.stpoelten-harland@noeschule.at;www.vsstpoelten-harland.ac.at;APS $VS;
302052;Neue Niederösterreichische Mittelschule St. Pölten, Dr. Theodor Körner IV;3100;St. Pölten;Hans Schickelgruber-Straße 4;02742/32314-41;hs.stpoelten-koerner-4@noeschule.at;www.hsstpoelten-koerner4.ac.at;APS $HS $AS NMS;
302061;Volksschule St. Pölten, Radlberg;3105;St. Pölten - Radlberg;Radlberger Hauptstraße 123;02742/323 26-11;vs.stpoelten-radlberg@noeschule.at;www.vsstpoelten-radlberg.ac.at;APS $VS;
302062;Neue Niederösterreichische Mittelschule St. Pölten, Viehofen;3107;St. Pölten - Traisenpark;Austinstraße 27;02742/32311-31 oder 33;hs.stpoelten-viehofen@noeschule.at;www.hsstpoelten-viehofen.ac.at;APS $HS NMS;
302071;Volksschule St. Pölten, Spratzern;3106;St. Pölten - Spratzern;Pestalozzistraße 28;02742/32325-10;vs.stpoelten-spratzern@noeschule.at;www.vsstpoelten-spratzern.ac.at;APS $VS;
302072;Neue Niederösterreichische Mittelschule St. Pölten, Wagram;3108;St. Pölten - Wagram;Kudlichstraße 29;02742/32316-31;hs.stpoelten-wagram@noeschule.at;www.ibmswagram.at;APS $HS NMS;
302081;Volksschule St. Pölten, Stattersdorf;3100;St. Pölten;Stattersdorfer Hauptstraße 109;02742/32321-11;vs.stpoelten-stattersdorf@noeschule.at;www.vsstpoelten-stattersdorf.ac.at;APS $VS $AS;
302082;MARY WARD Privathauptschule;3100;St. Pölten;Schneckgasse 3;02742/352173-400;phs.stpoelten@noeschule.at;www.englischefraeulein.ac.at;APS $HS;
302091;Volksschule St. Pölten, Viehofen;3107;St. Pölten - Traisenpark;Austinstraße 27;02742/32311-11;vs.stpoelten-viehofen@noeschule.at;www.vsstpoelten-viehofen.ac.at;APS $VS;
302092;Hauptschule St. Pölten, Pottenbrunn;3140;Pottenbrunn;Weiglstraße 8;02742/32313;hs.stpoelten-pottenbrunn@noeschule.at;www.hspottenbrunn.ac.at;APS $HS;
302101;Volksschule St. Pölten, Wagram;3100;St. Pölten-Wagram;Unterwagramer Straße 49;02742 323 16 10;vs.stpoelten-wagram@noeschule.at;www.vsstpoelten-wagram.ac.at;APS $VS;
302102;Neue Niederösterreichische Mittelschule St. Pölten, St. Georgen am Steinfelde;3151;St. Georgen am Steinfelde;Kirchengasse 1a;02742/32315;hs.stpoelten-stgeorgen@noeschule.at;www.hsstpoelten-stgeorgen.ac.at/;APS $HS NMS;
302111;MARY WARD  Privatvolksschule;3100;St. Pölten;Schneckgasse 3;02742/355285;pvs.stpoelten@noeschule.at;www.pvsenglischefraeulein.at;APS $VS;
302112;Sekundarschule Integratives Montessori Atelier;3100;St. Pölten;Herzogenburgerstrasse 68;02742/21618;;www.ima-montessori-schule.at;APS $HS STS;
302131;Volksschule St. Pölten, Pottenbrunn;3140;Pottenbrunn;Weiglstraße 6;02742/32328-11;vs.stpoelten-pottenbrunn@noeschule.at;www.vsstpoelten-pottenbrunn.ac.at;APS $VS;
302151;Volksschule St. Pölten, St. Georgen am Steinfelde;3151;St. Georgen am Steinfelde;St. Georgener Hauptstraße 132;02742/32315-10;vs.stpoelten-stgeorgen@noeschule.at;www.vsstgeorgen-steinfelde.ac.at;APS $VS;
302161;Franz Jonas Volksschule St. Pölten;3100;St. Pölten;Franz Jonas-Straße 10;02742/ 3 23 24;vs.stpoelten-jonas@noeschule.at;www.vsstpoelten-jonas.ac.at;APS $VS;
302171;Otto Glöckel Volksschule St. Pölten;3100;St. Pölten;Otto Glöckel-Straße 1;02742/323 29 10;vs.stpoelten-gloeckel@noeschule.at;www.vsstpoelten-gloeckel.ac.at;APS $VS;
302181;"Lernwerkstatt im Wasserschloss ""Initiative für aktives und offenes Lernen""2";3140;Pottenbrunn;Josef Trauttmannsdorf-Straße 10;02742/43550;pvs.pottenbrunn@noeschule.at;;APS $VS STS;
302191;Private Volksschule des Vereins Integratives Montessori Atelier;3100;St. Pölten;Herzogenburgerstr. 68;02742/21618;pvs.stpoelten-montessori-atelier@noeschule.at;www.ima-montessori-schule.at;APS $VS;
302201;"Private Volksschule ""International School St. Pölten"" - verstärkter Sprachunterricht D/E, St. Pölten";3100;St. Pölten;Dr. Karl Renner Promenade 8;0676/9600093;pvs.stpoelten-international-school@noeschule.at;www.international-school.at;APS $VS;
302418;Bundeshandelsakademie und Bundeshandelsschule St. Pölten;3100;St. Pölten;Waldstraße 1,  Postfach 332;02742/71840;hak.stpoelten@noeschule.at;www.hakstpoelten.ac.at;BBS K$S KMS KHS;
302467;Höhere technische Bundeslehr- und Versuchsanstalt St. Pölten;3100;St. Pölten;Waldstraße 3;02742/75051-0;htl.stpoelten@noeschule.at;www.htlstp.ac.at;BBS T$S THS TMS;
302479;Bildungszentrum für Gesundheits- und Sozialberufe der Caritas der Diözese St. Pölten;3100;St. Pölten;Parkpromenade 10;02742/353550;fsb.stpoelten@noeschule.at;www.bigs.ac.at;BBS SOZ W$S;
302499;Höhere Bundeslehranstalt für wirtschaftliche Berufe St. Pölten;3100;St. Pölten;Eybnerstraße 23;02742/361515-0;hlw.stpoelten@noeschule.at;www.hlwstpoelten.ac.at;BBS W$S WMS WHS;
302517;Werkmeisterschule für Berufstätige für Technische Chemie und Umwelttechnik;3100;St. Pölten;Mariazeller Straße 97;02742/890-2212;wms.stpoelten-wifi@noeschule.at;;BBS T$S;
302539;Höhere Lehranstalt für Tourismus des WIFI, St. Pölten;3100;St. Pölten;Mariazeller Straße 97;02742/890-2301 oder 2300;hlt.stpoelten@noeschule.at;www.wifi-tours.at;BBS W$S WHS WMS TOUR;
302549;Private Fachschule für Altendienste und Pflegehilfe St. Pölten;3100;St. Pölten;Eybnerstraße 23;02742/361515;fs.stpoelten@noeschule.at;www.hlwstpoelten.ac.at;BBS GES;
302557;HLA-Aufbaulehrgang Möbeldesign und Kolleg für Möbeldesign;3100;St. Pölten;Mariazeller Straße 97;02742/890-2411;kolleg.moebeldesign@noeschule.at;;BBS T$S TMS KOLL;
302820;Bundesbildungsanstalt für Kindergarten- und Sozialpädagogik St. Pölten;3100;St. Pölten;Dr. Theodor-Körner-Straße 8;02742/74354;bakip.stpoelten@noeschule.at;www.bakipstpoelten.ac.at;BBS BAKIP KOLL;
302840;Ausbildungsinstitut für Mitarbeiter in der Erwachsenenbildung St. Pölten;3100;St. Pölten;Klostergasse 16;02742/3242-352;erwbld.stpoelten@noeschule.at;www.kbw-bildung.at;BBS W$S;
302850;Religionspädagogisches Institut der Diözese St. Pölten;3500;Krems;Dr. Gschmeidlerstrasse 22-30;02742/355566;relpaed.stpoelten@noeschule.at;www.dsp.at/rpi/;BBS W$S PAI;
302900;Schule für Gesundheits- und Krankenpflege am Landesklinikum St. Pölten;3100;St. Pölten;Matthias Corvinus Straße 26;02742/300-63 66 1;krpfl.stpoelten@noeschule.at;;BBS W$S GES WMS;
302950;Bundesschülerheim St. Pölten;3100;St. Pölten;Bimbo Binder-Promenade 5;02742/77470;bsh.stpoelten@noeschule.at;;$SH;
303011;Volksschule Waidhofen an der Ybbs, Plenkerstraße;3340;Waidhofen an der Ybbs;Plenkerstraße 8a;07442/52476-523;vs.waidhofen-ybbs-plenkerstrasse@noeschule.at;www.vswaidhofen.at;APS $VS;
303012;Wirtschaftshauptschule Waidhofen an der Ybbs, Pocksteinerstraße;3340;Waidhofen an der Ybbs;Pocksteinerstraße 4;07442/90512;hs.waidhofen-ybbs-1@noeschule.at;hswaidhofen-ybbs-1.ac.at;APS $HS;
303013;Allgemeine Sonderschule Waidhofen an der Ybbs;3340;Waidhofen an der Ybbs;Pocksteinerstraße 27a;07442/55558;aso.waidhofen-ybbs@noeschule.at;www.spz-waidhofen-ybbs.ac.at;APS $AS SPZ;
303014;Polytechnische Schule Waidhofen an der Ybbs;3340;Waidhofen an der Ybbs;Pocksteinerstr. 27a;07442/53220-561;pts.waidhofen-ybbs@noeschule.at;www.polyeisenstrasse.at;APS PTS;
303016;Bundesrealgymnasium Waidhofen/Ybbs;3340;Waidhofen/Ybbs;Schillerplatz 1;07442/52165-10;brg.waidhofen-ybbs@noeschule.at;www.brgwaidhofen-ybbs.ac.at;AHS GYM;
303021;Volksschule Waidhofen an der Ybbs, Windhag;3340;Waidhofen an der Ybbs;Windhag 5;07442/54276;vs.windhag@noeschule.at;;APS $VS;
303022;Hauptschule II Waidhofen an der Ybbs, Zell;3340;Waidhofen an der Ybbs;Zell, Hauptplatz 17a;07442/90510;hs.waidhofen-ybbs-2@noeschule.at;shs.waidhofen.at;APS $HS;
303023;Landessonderschule Waidhofen an der Ybbs, Reichenauerhof;3340;Waidhofen an der Ybbs;Weyrer Straße 81;07442/52489;lss.waidhofen-ybbs@noeschule.at;www.lsswaidhofen-ybbs.ac.at;APS $AS;
303031;Volksschule Waidhofen an der Ybbs, St. Leonhard am Walde;3340;Waidhofen an der Ybbs;St. Leonhard am Walde 98;07442/7345;vs.stleonhard-wald@noeschule.at;;APS $VS;
303041;Volksschule Waidhofen an der Ybbs, Konradsheim;3340;Waidhofen an der Ybbs;Konradsheim 47;07442/53085-0;vs.konradsheim@noeschule.at;;APS $VS;
303051;Volksschule Waidhofen an der Ybbs, St. Georgen in der Klaus;3340;Waidhofen an der Ybbs;Sankt Georgnerstraße 34;07442/58253;vs.stgeorgen-klaus@noeschule.at;;APS $VS;
303061;Volksschule Waidhofen an der Ybbs, Zell;3340;Waidhofen an der Ybbs;Zell, Hauptplatz 17;07442/90517;vs.zell@noeschule.at;www.vszell.ac.at;APS $VS;
303417;Höhere technische Bundeslehr- und Versuchsanstalt Waidhofen/Ybbs;3340;Waidhofen/Ybbs;Im Vogelsang 8;07442/52590-0;htl.waidhofen-ybbs@noeschule.at;www.htlwy.ac.at;BBS T$S TMS THS;
303428;Bundeshandelsakademie und Bundeshandelsschule Waidhofen/Ybbs;3340;Waidhofen/Ybbs;Pocksteinerstraße 3;07442/52142-0;hak.waidhofen-ybbs@noeschule.at;www.hakwaidhofen-ybbs.ac.at;BBS K$S KMS KHS;
303720;Forstfachschule Waidhofen an der Ybbs;3340;Waidhofen/Ybbs;Negelegasse 3;07442/52223-0;forstfachschule@edu.waidhofen.at;edu.waidhofen.at/~ffs/;BBS LFS;
304012;Hauptschule Wiener Neustadt, Primelgasse;2700;Wiener Neustadt;Primelgasse 12;0676-883732375;hs.wr-neustadt@noeschule.at;www.shs-wn.at;APS $HS;
304013;Allgemeine Sonderschule Wiener Neustadt;2700;Wiener Neustadt;Sonnleitnergasse 1;0676 883732392;aso.wr-neustadt@noeschule.at;ris.noe-online.at/wiener-neustadt/schulen/;APS $AS SPZ;
304014;Polytechnische Schule Wiener Neustadt;2700;Wiener Neustadt;Burgplatz 1;0676/883732366;pts.wr-neustadt@noeschule.at;www.poly-wienerneustadt.at;APS PTS;
304016;Bundesgymnasium Wr. Neustadt, Babenbergerring;2700;Wiener Neustadt;Babenbergerring 10;02622/22380;bg.wr-neustadt-babenberger@noeschule.at;www.bg-bab.ac.at;AHS GYM;
30401F;Fachhochschule Wr. Neustadt;2700;Wiener Neustadt;Johannes Gutenberg Straße 3;02622/89084-0;;www.fhwn.ac.at;FH;
304021;Volksschule Wiener Neustadt, Baumkirchnerring West;2700;Wiener Neustadt;Baumkirchnerring 18;0676/88 373 2396;vs.wr-neustadt-bkr-west@noeschule.at;www.vs-bkr.at;APS $VS;
304022;Neue Niederösterreichische Mittelschule Wiener Neustadt, Europaallee 1;2700;Wiener Neustadt;Europa-Allee 1;0676/883732370;hs.wr-neustadt-europa@noeschule.at;www.nms-europaschule.at;APS $HS NMS;
304023;Sonderschule für Körperbehinderte Wiener Neustadt, Waldschule, Wiener Neustadt;2700;Wiener Neustadt;Im Föhrenwald 3;02622/24159-25;aso.wr-neustadt-waldschule@noeschule.at;www.waldschule.at;APS $AS;
304025;Landesberufsschule Wr. Neustadt;2700;Wiener Neustadt;Schneeberggasse 26;02622/28298;office@lbswrneustadt.ac.at;www.lbswrneustadt.ac.at;BPS BRS;
304026;Bundesrealgymnasium Wr. Neustadt, Gröhrmühlgasse;2700;Wiener Neustadt;Gröhrmühlgasse 27;02622/23115-0;brg.wr-neustadt@noeschule.at;www.brg-wrn.ac.at;AHS GYM;
304031;Otto Glöckel Volksschule Wiener Neustadt;2700;Wiener Neustadt;Pottendorfer Straße 100;0676/883732388;vs.wr-neustadt-gloeckel@noeschule.at;vs-otto-gloeckel.schulweb.at/;APS $VS;
304032;Neue Niederösterreichische Mittelschule Wiener Neustadt, Burgplatz;2700;Wiener Neustadt;Burgplatz 1;0676 88373 2379;hs.wr-neustadt-musik@noeschule.at;http://www.musikhauptschule.com;APS $HS NMS;
304033;Heilstättenschule Wiener Neustadt;2700;Wiener Neustadt;Europaallee 1;0676/883732274;heilstaettenschule.wr-neustadt@noeschule.at;www.wiener-neustadt.at/schulen/;APS $AS;
304036;Bundesoberstufenrealgymnasium Wr. Neustadt;2700;Wiener Neustadt;Herzog Leopold-Straße 32;02622/23116-0;borg.wr-neustadt@noeschule.at;www.borgwr-neustadt.ac.at;AHS ORG;
304041;Rudolf Wehrl Volksschule Nord Wiener Neustadt;2700;Wiener Neustadt;Wöllersdorfer Straße 7;0676/883732380;vs.wr-neustadt-wehrl-nord@noeschule.at;www.vs-rudolfwehrl.at;APS $VS;
304042;Neue Niederösterreichische Mittelschule Wiener Neustadt, Fischauergasse;2700;Wiener Neustadt;Fischauer Gasse 109;0676/883732373;hs.wr-neustadt-west@noeschule.at;www.neuemittelschule-wirtschaft-technik.at;APS $HS NMS;
304046;Bundesgymnasium und Bundesrealgymnasium Wr. Neustadt, Zehnergasse;2700;Wiener Neustadt;Zehnergasse 15;02622/23136-0;bg.wr-neustadt-zehner@noeschule.at;www.bgzehnwn.ac.at;AHS GYM;
304052;Private Hauptschule Wiener Neustadt des Schulvereines Institut Sta. Christiana;2700;Wiener Neustadt;Wiener Straße 65;02622/22387-12;phs.wr-neustadt@noeschule.at;www.stachristiana.at;APS $HS PTS NMS;
304056;Bundesoberstufenrealgymnasium und Bundesrealgymnasium für Berufstätige Wr. Neustadt;2700;Wiener Neustadt;Burgplatz 1;050201 / 20 29601;borgmilak.wr-neustadt@noeschule.at;www.milrg.at;AHS ORG;
304061;Volksschule Wiener Neustadt, Herzog Leopold Straße;2700;Wiener Neustadt;Herzog Leopold-Straße 21;0676883732398;vs.wr-neustadt-herzogleopold@noeschule.at;;APS $VS;
304062;Hauptschule Wiener Neustadt, Europaallee 2;2700;Wiener Neustadt;Europaallee 2;0676/883732377;bilinguale-hs-wrneustadt@noeschule.at;www.bilingualeschule.at;APS $HS;
304071;Bürgermeister Hans Barwitzius-Volksschule Wiener Neustadt;2700;Wiener Neustadt;Hubertusgasse 25b;0676 88 373 2 390;vs.wr-neustadt-barwitzius@noeschule.at;www.vs-barwitzius.at;APS $VS;
304091;Pestalozzi Volksschule Nord Wiener Neustadt;2700;Wiener Neustadt;Schneeberggasse 41-43;0043/676/88373/2385;vs.wr-neustadt-pestalozzi-nord@noeschule.at;www.vswr-neustadt-bilingual.ac.at;APS $VS;
304101;Volksschule Wiener Neustadt, In der Josefstadt;2700;Wiener Neustadt;Sonnleitnergasse 1;0676 88373 2393;vs.wr-neustadt-josefstadt@noeschule.at;bsrwn.lsr-noe.gv.at;APS $VS;
304111;Private Volksschule Wiener Neustadt des Institutes Sta. Christiana;2700;Wiener Neustadt;Wiener Straße 65;02622/22387-16;pvs.wr-neustadt-sta-christiana@noeschule.at;www.wiener-neustadt.at/schulen/;APS $VS;
304121;Volksschule Wiener Neustadt, Im Ungarviertel;2700;Wiener Neustadt;Grünbeckgasse 1;0676/88373 2 383;vs.wr-neustadt-ungarviertel@noeschule.at;bsrwn.lsr-noe.gv.at;APS $VS;
304141;UNITAS - Lernwerkstatt;2700;Wr. Neustadt;Zulingergasse 6;;unitas.lernwerkstatt.wr.neustadt@noeschule.at;;APS $VS;
304417;Höhere technische Bundeslehr- und Versuchsanstalt Wr. Neustadt;2700;Wiener Neustadt;Dr. Eckener Gasse 2;02622/27871;htl.wr-neustadt@noeschule.at;www.htlwrn.ac.at;BBS T$S THS TMS KOLL;
304437;Werkmeisterschule des BFI NOE;2700;Wiener Neustadt;Molkereistraße 13;0699 / 133 33 100;s304437@noeschule.at;www.bfi-werkmeister.at;BBS T$S TWS;
304438;Bundeshandelsakademie und Bundeshandelsschule Wr. Neustadt;2700;Wiener Neustadt;Ungargasse 29;02622/23570-0;hak.wr-neustadt@noeschule.at;www.hakwr-neustadt.ac.at;BBS K$S KMS KHS KOLL;
304449;Städtische Höhere Lehranstalt für wirtschaftliche Berufe, Wr. Neustadt;2700;Wiener Neustadt;Burgplatz 1;02622/26570-11;hlw.wr-neustadt@noeschule.at;hla.wiener-neustadt.at;BBS W$S WMS WHS;
304459;Fachschule für Sozialberufe der Caritas der Erzdiözese Wien, Wr. Neustadt;2700;Wiener Neustadt;Grazer Straße 52;02622/23847;soz.wr-neustadt@noeschule.at;www.fsbwr-neustadt.ac.at;BBS W$S SOZ;
304469;Städtische Höhere gewerbliche Lehranstalt, Fachrichtung Mode und Bekleidungstechnik, Wr. Neustadt;2700;Wiener Neustadt;Bräunlichgasse 1;02622/85748-11;hlm.wr-neustadt@noeschule.at;www.hlm.wiener-neustadt.at;BBS W$S WHS MODE;
304810;Ausbildungsinstitut für Mitarbeiter in der Erwachsenenbildung Wr. Neustadt;2700;Wiener Neustadt;Neuklostergasse 1;01/3170510-17 oder 18;erwbld.wr-neustadt@noeschule.at;www.ausbildungsinstitut.at;BBS W$S;
304820;Bildungsanstalt für Kindergartenpädagogik der Stadt Wiener Neustadt;2700;Wiener Neustadt;Bräunlichgasse 1;02622/85748;bakip.wr-neustadt@noeschule.at;www.bakip.wiener-neustadt.at/;BBS BAKIP KOLL;
304900;Krankenpflegeschule Wr. Neustadt;2700;Wiener Neustadt;Corvinusring 20;02622/321/2755;krpfl.wr-neustadt@noeschule.at;;BBS W$S GES WMS;
304950;Schülerheim Wiener Neustadt;2700;Wiener Neustadt;Wohlfahrtgasse 47;02622/22304;sh.wr-neustadt@noeschule.at;;$SH;
305011;Volksschule Allhartsberg;3365;Allhartsberg;Markt 50;07448/3895;vs.allhartsberg@noeschule.at;www.vsfarbengarten.at;APS $VS;
305012;Neue Niederösterreichische Mittelschule Allhartsberg;3365;Allhartsberg;Markt 50;07448/3896;nms.allhartsberg@noeschule.at;www.hsallhartsberg.ac.at;APS $HS NMS;
305013;Allgemeine Sonderschule Amstetten;3300;Amstetten;Siedlungsstraße 4;07472/68355;aso.amstetten@noeschule.at;www.sonnenschule.at;APS $AS SPZ;
305014;Polytechnische Schule Amstetten;3300;Amstetten;Siedlungsstraße 2;07472/68464;pts.amstetten@noeschule.at;www.ptsamstetten.ac.at;APS PTS;
305015;Landesberufsschule Amstetten;3300;Amstetten;Leopold Maderthanerplatz 2;07472/62786-0;office@lbsamstetten.ac.at;www.lbsamstetten.ac.at;BPS BRS;
